Iteration;Experiment;Strategy;Routing;Defense;ReconfigTime;Total Links Added;Links Added;Total Flux Links;Total Links Dropped;Links Dropped;Congestion;Loss;Throughput;Link Bandwidth Coefficient;Demand Factor;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.9_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];19;0;[];1.341659;0.133782;0.866153;1;1.0893357;
1;Comcast_mcf-TBE-Comcast-background-1.1_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];1.375;0.195171;0.804829;1;1.3314103;
1;Comcast_mcf-TBE-Comcast-background-0.3_0__-mcf;-mcf TBE;MCF;TBE;0;0;[];0;0;[];0.375;0.0;1.0;1;0.3631119;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-1.4_2__-mcf;2;Comcast_semimcfraekeft-greylambda-Comcast-background-plus-flashcrowd-1.0_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];82;0;[];5.166991;0.614479;0.385406;1;1.633346;
1;Comcast_mcf-greylambda-Comcast-background-plus-flashcrowd-1.1_2__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-plus-flashcrowd-1.2_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];7.477301;0.751642;0.248284;1;1.9600152;
1;Comcast_mcf-greylambda-Comcast-background-0.2_2__-mcf;1;Comcast_semimcfraekeft-TBE-Comcast-background-0.6_0__-semimcfraekeft;-semimcfraekeft TBE;SEMIMCFRAEKEFT;TBE;0;0;[];0;0;[];1.14742;0.057357;0.942501;1;0.7262238;
1;Comcast_mcf-TE-Comcast-background-plus-flashcrowd-0.2_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.532252;0.0;1.0;1;0.3266692;
2;Comcast_semimcfraekeft-greylambda-Comcast-background-0.3_2__-semimcfraekeft;-semimcfraekeft greylambda;SEMIMCFRAEKEFT;greylambda;0;0;[];0;0;[];0.425076;0.0;0.999982;1;0.3631119;
1;Comcast_mcf-TE-Comcast-background-0.6_0__-mcf;-mcf TE;MCF;TE;0;0;[];0;0;[];0.6;0.0;1.0;1;0.7262238;
1;Comcast_mcf-TBE-Comcast-background-plus-flashcrowd-0.2_0__-mcf;1;Comcast_semimcfraekeft-TE-Comcast-background-0.5_0__-semimcfraekeft;-semimcfraekeft TE;SEMIMCFRAEKEFT;TE;0;0;[];0;0;[];0.707585;0.0;0.999884;1;0.6051865;
